,Tweetler,Duygu
0,önce in beni araması gerekiyormuş bunu tim söylediler gülsem mi ağlasam biçim hizmet anlayışı ekimden beri posEmos,0
1,buçuk fırsat rumarali Turkcell mesajlar bu gelirse Turkcell terkediyorum geri mesaj bile atmaya Calais'tim dün yakamdan Cell,0
2,oha Turkcel bana çalışıyor resmen dakika bedava vermiş,1
3,Turkcell hizmet ekibi kadar yavaş çalışıyor öyle,0
4,Turkcell tam kaltak posEmos,0
5,mühendisler fibernet yarattı olma mit Superonline posEmos,1
6,Turkcell in bana karşı boş olmadığını sölemişmiydim sizi gecenin saatinde hanginize böle üst üste mesaj atıyor hanginizeee,0
7,muteahitlerinin akşamdan bir uyarı yapmadan sokağı kazıp bizi arabayla mahsur bırakması büyük bir İnternet hizmeti oldu,0
8,konserden sonra Turkcell in sayfasında direk bitti rüya çalması Turkcell in hayatın bize anca rüyanızda görürsünüz deme tarzıdır,0
9,Superonline bm Yoikk'i mit İnternet'in olsun bizim okulda var mit denedim posEmos,1
10,ben Turkcell den Vodafone na geçmeyi planlıyorum Avea kalitesiz,0
11,Turkcell in tarife politikası tarifede açık bir kapı bırakarak faturamıza fazla kitabına uygun para ödetti̇ri̇yor,0
12,Turkcell den yediğim kazık hala reklam yapıyorlar bide kaliteli iletişim stoklarından bile haberi olmayan kurum yazık size,0
13,Turkcell Superonline bir milyon evin kapisina fiber İnternet oturdu bizde yok bize getirmiyorlar posEmos,0
14,Turkcell Vodafone baş göz etmek lazım ekürim zaman beraber kurtuluruz bunlardan posEmos,0
15,den beri bu insan birine asit olmaz Turkcell le Sayfi'li seviyeli uzatmalı bir ilişkim var yanımda canim benim,1
16,muhterisine çok alaka gösteren gsm operatoru den cayma bedelini de sonra istediğin operatörde surunmeye basla,1
17,birinden mesaj beklerken gelen mesajın basında koskoca Turkcell yazması kadar acımasız birşey yok negEmos,0
18,bu Turkcell düşünüyor zaten negEmos,1
19,bugünkü ruh halimle in mükemmel çekim kalitesine küfüler yağdırdım,0
20,keşke Turkcell panpisim Tarsim yazsaydı panolara bende sana burdan yolluyorum Musk posEmos,1
21,is öretemedikleri ortada Avea ya Vodafone yerde çekiyor bilemem ikisinin Turkcell hala çekemediği net,1
22,sondaki gülücük olmamış manası onun öyle komik mi yazdığınız sevimli mi oldunuz hayır,0
23,canim paket bitmeden suresi bitiyor bende Turkcell fazla kara gelmesin tepe tepe kullanıyorum posEmos,0
24,Watch and talk un bulduğunu sandığı şeyi Turkcell yıllardır yapıyor zaten,1
25,mesaj olarak Bonus Turkcell Flex bkmden bu Facebook'ta oyun hediyeleri Allah Nolacak benim Halil'im,0
26,dakika içinde Turkcell bana tane ms attı allahtan bu sesle İnternet paketimiz bitti,0
27,dundur tl yuklemiyomusum ahahahaha artık Turkcell sevgili muhterimiz demiyor bana sürekli anamın telefonundan tl aktardigim için,0
28,Woody Turkcell in ortagi Teliasonera bin kredi olan notunu teyit etti torunumu durağan dan negatif cevirdi,0
29,hahha asil sen koruosn yok ben reklama taktim insana Avea yi değil direk Turkcell dusunduruyo posEmos,1
30,Turkcel beni sesimden tanır anlamadık lütfen yeniden deneyin Turkcel ben sesımd benim ben döl ziyanı tanımadın mıha Türk kızı meyve,0
31,sana kadar teşekkür etsem azdır Turkcell posEmos,1
32,Turkcell kanka acımaz Agustos'ta acimadi hasirt verdi faturayı bide utanmadan tane liste geldi eve posEmos,0
33,senin cekememezliginden biktim usandım Turkcell,0
34,Turkcell amacın olum sapığım oldun gece gece arayıp duruyorsun ben ciddi bu şekilde açıyorum efendim bu git allasan,0
35,hala yeni yıl mesajı atmadı diğer operatörlerden geldi hani belirtmek istedim yoksa size ugramiyormu posEmos,0
36,bu uyarsaydın hani Turkcell negEmos,0
37,bu Turkcell bu coca yola reklamları beni derinden etkliyo lan,1
38,kesinlikle Superonline,1
39,bu Ipard işini halledemeyen Turkcell Platinum uyası cinnet geçirerek saçlarını yoldu,0
40,hakketmen Turkcell sinir oluyorum posEmos posEmos,0
41,mesaj gelince heyecanlanıyorum sonra bu bakıyorum Turkcell,0
42,bide platin Auster'iyiz hiç bireyden haberimiz olmaz saat önce bilet aldım bana yapilir mi,0
43,Turkcell bize büyük ibneli yapıyor,0
44,Superonline posEmos,1
45,Ankara'da şebeke felç farkında mıyız,0
46,Turkcell Süperonline Anadolu yakasindaki̇ sorununu çözer mi,0
47,yöne sms tl bakınız Turkcell posEmos,1
48,hayat paylaşınca güzel la la Lara a Lara la Lara,1
49,Turkcell müzikten sanki hediye mesaj fare mi emin olamadım durduk yere hediye yollasın Turkcell,0
50,fazla ödedi̇ği̇m faturam hala Turkcell tarafından geri odenmedi̇ mit hi̇z Aldi'nim cevap efendim bi̇zbu konuda yardimci olami̇yoruz,0
51,hayat paylaşınca güzel hayatım posEmos,1
52,ölü numaraları aramanın ucuz yolu thy dakikalık konuşma sadece kuruş tutmuş posEmos,1
53,benden ay tl değil tl alman gerekiyordu keksin Turkcell,0
54,Turkcell le gülümse hayata Deyip sabah sabah Girik edermi̇şi̇m posEmos,0
55,ozturkcell reklamındaki hayvani Selcan puhahaha posEmos,1
56,bugün Turkcell tarafından çekilişe katıldığım tebrik aldım zaman anladım benim küçük insanlık büyük bir adım atmışım,1
57,zaman bu sen öyle davranma sen ataydın iyiydi Turkcell neyine yetmiyor negEmos,1
58,metroda bile çektiğini söyleyen Turkcell çıkıp hacı hangi metroysa söyle bizde binelim demek istiyorum,0
59,eğer yolculukta kullanmayacaksam ben İyad hat taktirdim İnternet paketine kadar para verdim,0
60,tl mi tl yapma Turkcell yapma yeter ama yapma,0
61,Superonline kesinlikle,1
62,Superonline şekilde hızlı kullanışlıdır ttnet göre posEmos,1
63,ev telefonunuzu Superonline devredin,1
64,çok temiz kampanya Turkcell şirket hatta kullanicilarina dr Center'de parca kuru temizleme sadece tl temizi Turkcell bırakmak,1
65,Superonline civar beni dinlemeyip yine anlasmali sitelerden test yaptılar sonucu hüsran olması gereken biz zor bela dikti,0
66,yok iyi Turkcell List'im,1
67,cumartesileri çalışmıyor musunuz,0
68,Turkcell tam bu serefsizz heryerden bindiriyorlar yuh yaa,0
69,hayat paylaşınca güzel posEmos,1
70,Turkcell bana güzel bir kız geliyor vazgeçemiyorum posEmos,1
71,hayat paylaşınca güzel lalalalalalalalalalaaaaaaaaaaaa posEmos,1
72,fena değil,1
73,sarı antenlerini ektiğimin Turkcell tl Phone gb fiyatı olurmuş peki küfür alana gitmeli satana,0
74,elveda Turkcell yarın seni terk ediyorum,0
75,bug Turkcell mesaj atmadı kesin başka var posEmos,0
76,bizim blog Turkcell blog ödülleri spor dalında ilk girmiş kazananlar ocak perşembe Point otel yapılacak törende açıklanacakmış,1
77,kabiliyet yoksunusun,0
78,hayattansogutanseyler dur bir mesaj atalım sevgilisinden zannetsin mesaj atan Turkcell,0
79,yalnızken mutlu olmuşki sen olasın kendini kandırma bak sert abla diye hayat paylaşınca güzel posEmos posEmos,1
80,Turkcell arıyorum genelde ben ya bayidir yeniliyor kendini mb yapiyolar posEmos,1
81,bir aydır iptal etmeye çalıştığım paketi böyle bu paketiniz bulunmayan diyen Turkcell gene kazığı çaktı siyerlerime,0
82,aman bunu hizmet satar Turkcell hayat rahatsız edilmeyince güzel Deyip yansıtır faturaya,0
83,sevgilimizsin,0
84,Carrie iş skandalı hakkında bir açıklama yapmıyorsunuz rt yapalım lütfen Zekeriya beyaz,0
85,İnternet'im tarihinde kadar yavaşlama görmemişti sağol Superonline gözlerinden öpüyorum,0
86,konforu bir gün gece alınca Turkcell in burnu sürtsün dercesine İnternet paketimi yenilememesi hiç hoş bir davranis değil,0
87,Turkcell tl hediye etse bana güzel olur posEmos,1
88,Turkcell'den telefon alabilmek illa bu kaç aylık faturalı hattımız olması gerekiyor,0
89,hayat paylaşınca güzel geri̇si̇ teferruat,1
90,işim gücüm yok Turkcell in Fizy'deki telefondan sms olarak ücretsiz şarkı paylaşma uygulamasını deniyorum hala kimse teşekkür etmedi,0
91,Turkcell koca baskentuniversitesi kampusunda hala Ege takilioruz yakismadi sana,0
92,akşam Turkcell belejj film gecesi genç Turkcell şifresi paylaşım gecesi katkılarınızı bekliyorum sanata sinemaya katkı babında posEmos,1
93,bence Superonline,1
94,bence gnçtrkcll ark winterfest olur gelir posEmos,1
95,millet telefonuna mesaj gelince aaa kesin pırpırlanıyor ben direk yine Turkcell bir ama posEmos posEmos,0
96,birşey Sosa'cın İnternet ınn yarın hızlısı iyi çekeni Hanks'ıdır Turkcell demeyin bana buz soğurum sizden adını anmayacağım,0
97,oturduğunuz bölgede varsa Superonline fiber net geçmelisiniz,1
98,şeker Turkcell safirim bu tek benim olduğum yerlerde cekmiyo,0
99,Dudullu onun gobeginde Turkcell Ege baglaniyor çeksin daha mi cikmamiz lazım anlamadım,0
100,bunlara bu cevap yazmayın görüm ben sizi gerçi cevap atmazsınız direkt dava ıvır zıvır takılırsınız bkz incisözlük Digiturk,0
101,bir bankalar Digiturk Turkcell tam bir mücadele posEmos,0
