,Tweetler,Duygu
0,önce  in beni araması gerkiyormuş :D bunu TİM'de söylediler. gülsem mi ağlasam mı ne biçim hizmet anlayışı ??? ekimden beri...,0
1,BUYUK FIRSAT ve RUMARAli turkcell mesajlari bi daha gelirse turkcelli terkediyorum. Geri mesaj bile atmaya calistim düs yakamdan tcell diye,0
2,Oha turksel bana çalışıyo resmen 487 dakika bedava vermiş :O,1
3,Turkcell Hizmet ekibi ne kadar yavaş çalışıyor öyle..,0
4,Turkcell tam kaltak ya :D,0
5,muhendisler fibernet yaratti olm 20mbit 49 superonline :),1
6,"Bu turkcell'in bana karşı boş olmadıgını sölemişmiydim sizi , gecenin bu saatinde hanginize böle üst üste mesaj atıyor hanginizeee :|",0
7,muteahitlerinin akşamdan hiç bir uyarı yapmadan sokağı kazıp bizi arabayla mahsur bırakması büyük bir Internet hizmeti oldu,0
8,Konserden sonra Turkcell'in sayfasında direk Bitti Rüya çalması Turkcell'in ve hayatın bize anca rüyanızda görürsünüz deme tarzıdır.,0
9,süperonline ım yokki 100 mbit internetim olsun:)) bizim okulda var ama 100 mbit denedim,1
10,"Ben turkcell den vodafone'na geçmeyi planlıyorum, avea çok kalitesiz...",0
11,TURKCELL İN TARİFE politikası her tarifede açık bir kapı bırakarak faturamıza FAZLA ama kitabına uygun PARA ÖDETTİRİYOR,0
12,Bu Turkcell den yediğim 3. Kazık hala reklam yapıyorlar bide kaliteli iletisim diye.. Stoklarından bile haberi olmayan kurum yazık size!!!,0
13,#Turkcell Superonline bir milyon evin kapisina fiber internet goturdu bizde niye yok bize niye getirmiyorlar :)),0
14,bu turkcell ile vodafone u baş göz etmek lazım ekürim. o zaman hep beraber kurtuluruz bunlardan :)),0
15,"2002 den beri bi insan birine asik olmaz ki? Turkcell le saygili,seviyeli ve uzatmali bir iliskim var hep yanimda canim benim ya.",1
16,Musterisine en cok alaka gosteren GSM operatoru  den cayma bedelini ode sonra istedigin operatorde surunmeye basla.,1
17,Birinden mesaj beklerken o gelen mesajın basında koskoca TURKCELL yazması kadar acımasız birsey yok :(,0
18,Bi turkcell düşünüyo zaten :S,1
19,bugünkü ruh halimle  in mükemmel çekim kalitesine küfüler yağdırdım.,0
20,keske turkcell panpisim ve karsim i de yazsaydi panolara bende sana burdan yolluyorum muck :),1
21,"is uretemedikleri ortada.. "" Avea'yla Vodafone her yerde çekiyor mu bilemem ama ikisinin de Turkcell'i hala çekemediği net.""",1
22,o sondaki gülücük olmamış. manası ne onun oyle? komik mi yazdığınız? sevimli mi oldunuz? hayır.,0
23,canim paket bitmeden suresi bitiyo ya bende turkcell daha fazla kara gecmesin diye tepe tepe kullaniyorum :D,0
24,match and talk un bulduğunu sandığı şeyi turkcell yıllardır yapıyo zaten,1
25,Mesaj olarak bonus turkcell flexi bbmden bc facebooktan oyun hediyeleri allam nolcak benim haliiim,0
26,2 dakika icinde turkcell bana 10 tane msg attı allahtan bi smsle internet paketimiz bitti yani,0
27,156 gundur Tl yuklemiyomusum ahahahaha artik turkcell sevgili musterimiz demiyo bana surekli anamin telefonundan Tl aktardigim icin.,0
28,"MOODY'S, TURKCELL'IN ORTAGI TELIASONERA'NIN KREDI A3 OLAN NOTUNU TEYIT ETTI, GORUNUMU DURAGAN'DAN NEGATIF'E CEVIRDI",0
29,hahaha asil sen koruosn :) yok ben reklama taktim insana avea'yi degil direk turkcell'i dusunduruyo,1
30,+Turksel beni sesimden tanır.-anlamadık lutfen yenıden deneyın +turksel benı sesımd.. benim ben döl ziyanı tanımadın mıaa (turk kızı merve),0
31,Sana ne kadar teşekkür etsem azdır Turkcell :),1
32,turkcell kanka acimaz agostosta acimadi hasirt 250 verdi ile faturayi bide utanmadan 5 tane liste geldi eve :D,0
33,senin bu cekememezliginden biktim usandim #turkcell,0
34,#turkcell amacın ne olum sapığım oldun her gece her gece arayıp duruyosun ben de ciddi bi şekilde açıyorum efendim diye bi git allasen ya,0
35,Hala yeni yıl mesajı atmadı.Diğer operatorlerden geldi .hani belirtmek istedim .yoksa size ugramiyormu ?,0
36,Bi uyarsaydın hani turkcell! :s,0
37,"Bi Turkcell , bi de Coca-Cola reklamları beni derinden etkliyo lan",1
38,kesinlikle superonline,1
39,Bı ıpad işini halledemeyen turkcell platinum uyesı  cinnet geçirerek saçlarını yoldu!,0
40,:) hakketten ya turkcell e sinir oluyorum :),0
41,mesaj gelince heyecanlanıyorum sonra bi bakıyorum ki turkcell,0
42,Bide platin. musteriyiz hic biseyden haberimiz olmaz... 4 saat once bilet aldim bu bana yapilir mi ?,0
43,turkcell bize büyük ibnelk yapıyo,0
44,superonline :),1
45,ankarada şebeke felç farkında mıyız?,0
46,TÜRKCELL SÜPERONLİNE ANADOLU YAKASINDAKİ SORUNUNU 2012 ÇÖZER Mİ ACABA.,0
47,her yöne sms 12 tl bakınız turkcell :D,1
48,hayat paylaşınca güzel la la laaa laa laaa la laaa ((:,1
49,turkcell muzikten 50 sarki hediye mesaji fake mi? Emin olamadim durduk yere niye hediye yollasin Turkcell diye...,0
50,FAZLA ÖDEDİĞİM FATURAM HALA TURKCELL TARAFINDAN GERİ ODENMEDİ MŞT.HİZ ALDIĞIM CEVAP EFENDİM BİZBU KONUDA YARDIMCI OLAMİYORUZ,0
51,Hayat paylaşınca güzel Hayatım :)),1
52,444'lü numaraları aramanın en ucuz yolu  THY ile 21.5 dakikalık konuşma sadece 40 kuruş tutmuş :),1
53,"Benden bu ay 7 tl değil, 14 tl alman gerekiyordu, çok keksin turkcell",0
54,TURKCELL LE GÜLÜMSE HAYATA DEYİP SABAH SABAH GICIK EDERMİŞİM :))),0
55,ozturkcell reklamindaki hayvani selocan puhahaha:)),1
56,"Bugün Turkcell tarafından çekilişe katıldığım için tebrik aldım. O zaman anladım ki benim için küçük insanlık, için büyük bir adım atmışım.",1
57,"O zaman bi daha sen de öyle davranma, sen ataydın o da iyiydi. Hem turkcell neyine yetmiyo :(",1
58,"Metroda bile çektiğini söyleyen Turkcell'e çıkıp ""Hacı hangi metroysa o söyle bizde binelim."" demek istiyorum.",0
59,eger yolculukta kullanmayacaksam ben bu ipad'e neden hat taktirdim niye o internet paketine o kadar para verdim?,0
60,20 TL'mi 100 TL yapma turkcell yapma yeter amk yapma!,0
61,süperonline kesinllikle . .,1
62,superonline her şekilde daha hızlı ve kullanışlıdır ttnet'e göre :),1
63,ev telefonunuzu superonline'a devredin..,1
64,"Cok temiz kampanya! Turkcell sirket hatti kullanicilarina DRY Centerda 3 parca kuru temizleme sadece 19,90TL! En temizi Turkcell i birakmak!",1
65,#superonline cilar beni dinlemeyip yine o anlasmali sitelerden test yaptilar. Sonuc husran! 20 olmasi gereken hiz zor bela 8 cikti.,0
66,yok ya iyi turkcell alistim,1
67,Cumartesileri çalışmıyor musunuz?,0
68,Bu turkcell tam bi serefsizz heryerden bindiriyorlar yuhh yaa!,0
69,hayat paylaşınca güzel:),1
70,turkcell de bana çok güzel bir kız gibi geliyor vazgecemiyorum :),1
71,Hayat paylaşınca güzel lalalalalalalalalalaaaaaaaaaaaa :D,1
72,fena degil,1
73,Sarı antenlerini s*ktiğimin TURKCELL'i 2900tl iphone 4s 64gb fiyatı mı olurmuş! Peki bu küfür alana mı gitmeli satana mı?,0
74,Elveda Turkcell. Yarın seni terk ediyorum.,0
75,Bugún Turkcell' mesaj atmadı. Kesın başka biri var :),0
76,"Bizim blog Turkcell Blog ödülleri spor dalında ilk10a girmiş, Kazananlar 5 Ocak Perşembe Point Otel'de yapılacak törende açıklanacakmış.",1
77,kabiliyet yoksunusun,0
78,"#hayattansogutanseyler ""Dur bir mesaj ataLim sevgiLisinden zannetsin."" diye mesaj atan turkcell",0
79,:) :) yanlızken kim mutlu olmuşki seen olasın ? Kendini kandırma ! Bak sertb abla ne diyo ? Hayat paylaşınca güzel !,1
80,Turkcell i ariyorum genelde ben yia bayadir yeniliyo kendini 100mb de yapiyolar :D,1
81,"bir aydır iptal etmeye çalıştığım paketi, böyle bi paketiniz bulunmayan diyen turkcell gene kazığı çaktı biyerlerime...",0
82,"aman bunu da hizmet diye satar #Turkcell ""Hayat rahatsız edilmeyince güzel"" deyip yansıtır faturaya.",0
83,Sevgilimizsin sanki ya,0
84,Carrier IQ skandalı hakkında neden bir açıklama yapmıyorsunuz? RT yapalım lütfen. Zekeriya Beyaz,0
85,İnternetim tarihinde hiç bu kadar yavaşlama görmemişti! Sağol Superonline gözlerinden öpüyorum!...,0
86,Kontoru bir gun gec alinca turkcell'in burnu sürtsün dercesine internet paketimi yenilememesi hic hos bir davranis degil,0
87,turkcell 3 tl hediye etse bana ne güzel olur =),1
88,türkcellden telefon alabilmek için illa bi kaç aylık faturalı hattımız mı olması gerekiyor...,0
89,HAYAT PAYLAŞINCA GÜZEL...GERİSİ TEFERRUAT...,1
90,işim gücüm yok turkcell in fizydeki telefondan sms olarak ücretsiz şarkı paylaşma uygulamasını deniyorum. ve HALA KİMSE TEŞEKKÜR ETMEDİ.,0
91,#turkcell koca #baskentuniversitesi kampusunde hala edge takilioruz... Yakismadi bu sana,0
92,"bu akşam turkcell belejj film gecesi,yani gnç turkcell şifresi paylaşım gecesi, katkılarınızı bekliorum, sanata ve sinemaya katkı babında :)",1
93,BeNce superonline,1
94,bence Gnçtrkcll Ark Winterfest 2012'de 1.olur da gelir :),1
95,millet telefonuna mesaj gelince ''aaa kesin o :)):))'' diye pırpırlanıyor. Ben direk '' yine Turkcell'dir amk.'',0
96,bişey soracın; bu internet vınn'ların en hızlısı ve iyi çekeni hankısıdır (turkcell demeyin bana buz gibi soğurum sizden. adını anmiyacağım),0
97,eğer oturduğunuz bolgede varsa superonline fiber net geçmelisiniz.,1
98,4ceker turkcell sanirim bi tek benim oldugum yerlerde cekmiyo..,0
99,"Dudullu'nun gobeginde #turkcell edge ile baglaniyor, 4 ceksin diye daga mi cikmamiz lazim anlamadim ki",0
100,bunlara bi cevap yazmayın. görim ben sizi. gerçi siz cevap atmazsınız direkt dava ıvır zıvır takılırsınız bkz: incisözlük-digiturk,0
101,"bir de bankalar, digitürk ve türkcell tam bir mücadele :)",0
102,Bu oçe Turkcell mesaj hakkı talebimi aldı ama cevap vermiyoo :(,0
103,"kardeşim tanıdıgım bi piskiyatır var.. numarasını vereyim.. tansaş,turkcell,avea vb.'den gelen mesajları ona da atarsın ;)",0
104,Pazartesi Sendromumu bir de sen tetikleme be Turkcell...,0
105,1500 dklik konusma paketini 5 gunde bitirebiliyormusum. Turkcell nasilda salliyorr ya nasil bitebilir,0
106,"işe bak!  reklam için aramış, ulaşamayıp ses kaydını sesli mesaj bırakmış.  dinleme ücreti kesti benden! fiyasko!",0
107,telefondan mesaj atamıyorum ki sana yaa turkcell'e geçmelisin :),1
108,"Doğum günüm için hediyelerim Turkcell'den Divan'dan pasta,Dominos'tan pizzaya indirim.Beni özel hissettiren başkaları olmalıydı sanki:)",1
109,“ Bir sure stabil devam ettin ama su an sacmaliyorsun Turkcell,0
110,yaziklar olsun Turkcell yaziklar olsun Armes Group,0
